lenDH,lenAH,lenh
NaN,NaN,NaN
NaN,NaN,NaN
NaN,23,NaN
1,36,NaN
NaN,32,NaN
6,11,NaN
NaN,20,NaN
NaN,12,NaN
12,23,NaN
16,10,NaN
NaN,20,NaN
NaN,36,NaN
17,15,NaN
38,22,NaN
20,182,NaN
6,5,NaN
16,4,NaN
10,25,NaN
NaN,10,26
13,18,17
2,31,NaN
6,19,21
7,202,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
22,34,NaN
13,33,27
17,16,NaN
21,61,39
49,55,NaN
114,32,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,32,24
17,18,23
48,21,NaN
3,33,NaN
52,10,NaN
1,20,NaN
57,55,NaN
NaN,NaN,NaN
NaN,NaN,NaN
21,45,23
32,21,23
14,NaN,26
3,48,25
67,16,23
NaN,48,25
4,NaN,62
NaN,NaN,NaN
10,2,NaN
1,27,NaN
3,16,NaN
6,27,NaN
9,23,NaN
5,34,NaN
26,11,NaN
NaN,27,NaN
50,54,NaN
1,23,NaN
14,24,NaN
23,26,NaN
NaN,58,NaN
18,15,NaN
6,78,NaN
46,284,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,36,23
NaN,NaN,NaN
2,11,25
NaN,39,24
4,26,24
6,18,21
13,36,17
9,25,26
17,24,23
10,20,23
5,NaN,32
13,16,31
13,8,32
NaN,35,27
42,NaN,21
15,48,20
29,71,20
102,22,24
60,24,22
70,66,23
147,8,27
165,11,20
84,36,21
NaN,1,NaN
19,27,NaN
21,1,NaN
10,15,NaN
34,27,NaN
56,19,NaN
1,56,NaN
75,19,NaN
18,30,NaN
12,43,NaN
2,26,NaN
4,17,NaN
1,33,NaN
4,21,NaN
11,28,NaN
19,10,NaN
7,32,NaN
22,25,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,20,NaN
1,37,NaN
NaN,NaN,NaN
NaN,9,NaN
5,37,NaN
3,6,NaN
NaN,23,NaN
6,11,NaN
7,20,NaN
5,19,NaN
10,23,NaN
NaN,1,NaN
2,4,NaN
51,18,NaN
49,20,NaN
43,31,NaN
30,42,NaN
67,20,NaN
NaN,4,26
NaN,23,27
NaN,NaN,NaN
11,19,NaN
9,17,NaN
