lenDH,lenAH,lenh
NaN,4,27
30,79,NaN
2,219,NaN
NaN,173,NaN
12,245,NaN
27,155,NaN
2,245,23
6,69,19
NaN,198,26
50,54,24
7,110,19
NaN,25,24
1,142,21
NaN,199,21
30,275,21
35,142,21
62,29,22
18,141,NaN
22,NaN,NaN
7,NaN,NaN
20,107,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
83,45,NaN
116,28,NaN
56,129,NaN
44,46,NaN
39,NaN,NaN
43,108,NaN
17,72,NaN
6,56,22
71,76,21
33,53,NaN
58,135,NaN
13,37,NaN
8,190,NaN
44,136,NaN
80,91,NaN
31,105,21
59,83,21
60,89,21
116,NaN,28
93,52,20
NaN,64,22
39,140,20
108,51,21
73,67,21
43,54,22
37,184,23
86,138,35
129,92,20
98,163,20
145,114,26
59,280,27
111,119,23
39,130,20
89,117,26
7,7,NaN
17,8,NaN
8,10,NaN
22,NaN,NaN
9,21,NaN
7,26,NaN
NaN,NaN,NaN
1,30,NaN
8,13,NaN
18,NaN,NaN
NaN,34,NaN
13,24,NaN
NaN,NaN,NaN
9,38,NaN
46,20,NaN
5,20,NaN
NaN,22,NaN
18,5,NaN
16,NaN,NaN
45,31,NaN
22,59,NaN
NaN,19,NaN
68,NaN,NaN
77,7,NaN
45,14,NaN
16,NaN,NaN
63,18,NaN
3,31,NaN
58,NaN,NaN
20,83,NaN
67,NaN,NaN
NaN,NaN,NaN
11,NaN,NaN
6,NaN,NaN
78,40,NaN
60,75,NaN
40,59,NaN
26,82,NaN
5,NaN,NaN
93,57,NaN
31,NaN,NaN
63,39,NaN
68,131,NaN
33,NaN,NaN
49,97,NaN
59,NaN,NaN
NaN,NaN,NaN
5,2,25
NaN,22,28
11,74,29
18,18,26
7,NaN,32
19,NaN,52
20,3,36
43,54,23
1,NaN,39
NaN,24,47
NaN,2,39
1,20,NaN
4,15,NaN
24,17,NaN
NaN,40,NaN
NaN,31,NaN
5,121,NaN
NaN,17,NaN
42,15,NaN
NaN,85,NaN
NaN,60,NaN
NaN,81,NaN
8,115,NaN
NaN,178,NaN
10,164,NaN
1,195,NaN
38,148,NaN
2,246,NaN
NaN,26,NaN
NaN,166,NaN
NaN,328,NaN
49,125,NaN
